Episode = 214, Score = 226.22477057268725, Avg_Score = 121.81808673133878
Episode = 215, Score = 270.24760478988907, Avg_Score = 123.80264252169016
Episode = 216, Score = 247.59539482297677, Avg_Score = 123.55569413556955
Episode = 217, Score = 268.030581389889, Avg_Score = 128.57232968444936
Episode = 218, Score = 193.67458236179073, Avg_Score = 123.69928034161947
Episode = 219, Score = 268.54051876950524, Avg_Score = 180.4954109063562
Episode = 220, Score = 279.4137892878668, Avg_Score = 216.20762686739482
Episode = 221, Score = 276.99549508326777, Avg_Score = 250.97664699095702
Episode = 222, Score = 269.11697337194255, Avg_Score = 252.05129833080474
Episode = 223, Score = 241.1511515575235, Avg_Score = 254.0990862007339
Episode = 224, Score = 256.5525827596397, Avg_Score = 257.1318674194291
Episode = 225, Score = 277.06813550928075, Avg_Score = 257.81392049136826
Episode = 226, Score = -252.9483834463426, Avg_Score = 207.7595426644363
Episode = 227, Score = 263.1992212129839, Avg_Score = 207.27640664674587
Episode = 228, Score = 201.56090567287106, Avg_Score = 208.06503897785387
Episode = 229, Score = 260.0386120716082, Avg_Score = 207.21484830806418
Episode = 230, Score = 278.90332445671305, Avg_Score = 207.16380182494876
Episode = 231, Score = -180.64191826229754, Avg_Score = 161.40006049039226
Episode = 232, Score = 252.75303683057348, Avg_Score = 159.76366683625534
Episode = 233, Score = 274.1758006761773, Avg_Score = 163.0661317481207
Episode = 234, Score = 253.79126872694957, Avg_Score = 162.79000034485173
Episode = 235, Score = 258.43750274663716, Avg_Score = 160.92693706858736
Episode = 236, Score = 81.982886698299, Avg_Score = 194.4200640830515
Episode = 237, Score = 212.10245066004728, Avg_Score = 189.31038702775783
Episode = 238, Score = 257.0818377107455, Avg_Score = 194.8624802315453
Episode = 239, Score = 242.33987927207363, Avg_Score = 193.09260695159185
Episode = 240, Score = 221.13832596983016, Avg_Score = 187.31610710290357
Episode = 241, Score = 241.76207990997986, Avg_Score = 229.5565069201313
Episode = 242, Score = 261.5273291682057, Avg_Score = 230.4339361538945
Episode = 243, Score = 225.88054700839177, Avg_Score = 225.60441078711597
Episode = 244, Score = 243.65386660596806, Avg_Score = 224.59067057501784
Episode = 245, Score = 238.75243163799107, Avg_Score = 222.6221634641532
Episode = 246, Score = 191.57501794127498, Avg_Score = 233.5813765884508
Episode = 247, Score = 268.34052281128885, Avg_Score = 239.20518380357493
Episode = 248, Score = 4.4321602587595805, Avg_Score = 213.9402160583764
Episode = 249, Score = 163.90446489547617, Avg_Score = 206.0966746207166
Episode = 250, Score = -316.87135631826845, Avg_Score = 152.29570639190678
Episode = 251, Score = 247.79561010481862, Avg_Score = 152.89905941139062
Episode = 252, Score = 250.50249962530182, Avg_Score = 151.79657645710023
Episode = 253, Score = 165.82125069667632, Avg_Score = 145.79064682592872
Episode = 254, Score = 297.6291532766285, Avg_Score = 151.18817549299473
Episode = 255, Score = 252.53424045670351, Avg_Score = 152.56635637486602
Episode = 256, Score = 262.76313384765217, Avg_Score = 159.6851679655037
Episode = 257, Score = 252.55828306015948, Avg_Score = 158.1069439903908
Episode = 258, Score = 240.7292068132695, Avg_Score = 181.73664864584174
Episode = 259, Score = 288.2378183072831, Avg_Score = 194.16998398702245
Episode = 260, Score = 193.96923243458045, Avg_Score = 245.25404286230733
Episode = 261, Score = -0.1164735749060668, Avg_Score = 220.46283449433486
Episode = 262, Score = 274.93099233092283, Avg_Score = 222.90568376489696
Episode = 263, Score = 244.71390603202934, Avg_Score = 230.79494929843227
Episode = 264, Score = 208.55732776768372, Avg_Score = 221.8877667475378
Episode = 265, Score = -35.15702165041918, Avg_Score = 193.11864053682555
Episode = 266, Score = 39.384670652489575, Avg_Score = 170.78079421730928
Episode = 267, Score = -93.54207290918261, Avg_Score = 136.17075862037507
Episode = 268, Score = 288.8822091087296, Avg_Score = 140.98605884992108
Episode = 269, Score = -9.622733988139856, Avg_Score = 111.2000036203788
Episode = 270, Score = 224.04515955444077, Avg_Score = 114.20759633236483
Episode = 271, Score = 253.14960022763995, Avg_Score = 139.53420371261942
Episode = 272, Score = 288.25689009718553, Avg_Score = 140.8667934892457
Episode = 273, Score = 213.65477573697984, Avg_Score = 137.76088045974075
Episode = 274, Score = -276.7067816537175, Avg_Score = 89.23446951760062
Episode = 275, Score = 266.26659980132524, Avg_Score = 119.37683166277505
Episode = 276, Score = 219.10786826887716, Avg_Score = 137.34915142441383
Episode = 277, Score = 264.47796797171003, Avg_Score = 173.15115551250307
Episode = 278, Score = 255.3019554709224, Avg_Score = 169.79313014872235
Episode = 279, Score = 234.34691411751183, Avg_Score = 194.19009495928753
Episode = 280, Score = 254.5875296704589, Avg_Score = 197.24433197088936
Episode = 281, Score = 232.7550463767777, Avg_Score = 195.2048765858031
Episode = 282, Score = 264.7180267442844, Avg_Score = 192.850990250513
Episode = 283, Score = 267.1212629185574, Avg_Score = 198.19763896867076
Episode = 284, Score = 286.4292175342244, Avg_Score = 254.5112388874649
Episode = 285, Score = 296.9012247792516, Avg_Score = 257.5747013852576
Episode = 286, Score = 195.12349584510554, Avg_Score = 255.17626414288043
Episode = 287, Score = 274.74406455832263, Avg_Score = 256.20287380154167
Episode = 288, Score = 200.0014129633471, Avg_Score = 250.67281955078414
Episode = 289, Score = 272.5050868627435, Avg_Score = 254.4886368253073
Episode = 290, Score = 267.46611120898694, Avg_Score = 255.77649497916013
Episode = 291, Score = 282.3468770777439, Avg_Score = 260.73567804925676
Episode = 292, Score = 274.2571953841992, Avg_Score = 261.68959491324824
Episode = 293, Score = 142.80957894164166, Avg_Score = 249.25842651555664
Episode = 294, Score = 251.34567675987796, Avg_Score = 245.75007243812198
Episode = 295, Score = 255.31343037520946, Avg_Score = 241.59129299771774
Episode = 296, Score = 216.06291002810474, Avg_Score = 243.68523441601775
Episode = 297, Score = 248.53904869960303, Avg_Score = 241.06473283014574
Episode = 298, Score = 266.11669789296184, Avg_Score = 247.67626132310724
Episode = 299, Score = 270.7533857800254, Avg_Score = 247.5010912148354
Episode = 300, Score = 251.54159056552243, Avg_Score = 245.90863915048894
Episode = 301, Score = 238.94789826898852, Avg_Score = 241.56874126961338
