Episode = 197, Score = 248.90718798864162, Avg_Score = 213.59018756481288
Episode = 198, Score = 253.80687751949574, Avg_Score = 227.1375733469352
Episode = 199, Score = -5.199680619617496, Avg_Score = 212.0858663406982
Episode = 200, Score = 266.75731369198337, Avg_Score = 227.70529065697747
Episode = 201, Score = 299.4623832989589, Avg_Score = 229.8186537197044
Episode = 202, Score = 245.31338181118872, Avg_Score = 229.7100306969656
Episode = 203, Score = 242.36330812303595, Avg_Score = 231.79372332109602
Episode = 204, Score = -26.597647894841316, Avg_Score = 204.80546392430296
Episode = 205, Score = 236.2941921859017, Avg_Score = 202.5078618911693
Episode = 206, Score = 90.53583544223565, Avg_Score = 185.16431515469827
Episode = 207, Score = -12.216282682168654, Avg_Score = 159.05196808761724
Episode = 208, Score = 307.457788488177, Avg_Score = 164.41705918448537
Episode = 209, Score = 154.080572449752, Avg_Score = 180.34508449142234
Episode = 210, Score = 107.34591904293869, Avg_Score = 164.40394502651787
Episode = 211, Score = 267.8331579264132, Avg_Score = 161.24102248926332
Episode = 212, Score = 267.1262821548511, Avg_Score = 163.42231252362953
Episode = 213, Score = 309.4627069814359, Avg_Score = 170.13225240946954
Episode = 214, Score = 230.63158123995052, Avg_Score = 195.85517532294872
Episode = 215, Score = 297.0615056352869, Avg_Score = 201.93190666788723
Episode = 216, Score = 274.51071753343786, Avg_Score = 220.32939487700742
Episode = 217, Score = 258.95857629882164, Avg_Score = 247.4468807751065
Episode = 218, Score = 294.15538225451473, Avg_Score = 246.11664015174028
Episode = 219, Score = 270.15461004618976, Avg_Score = 257.724043911384
Episode = 220, Score = 299.2079365436557, Avg_Score = 276.9102456614557
Episode = 221, Score = 288.86342491103983, Avg_Score = 279.0132723599184
Episode = 222, Score = 295.3660295036981, Avg_Score = 281.8372470948031
Episode = 223, Score = 252.24971510534488, Avg_Score = 276.115947907194
Episode = 224, Score = 252.48487795914548, Avg_Score = 278.3012775791135
Episode = 225, Score = 264.643859601287, Avg_Score = 275.05951297571346
Episode = 226, Score = 283.82142894858583, Avg_Score = 275.99058411722825
Episode = 227, Score = 251.2860951441193, Avg_Score = 275.22333600175807
Episode = 228, Score = 101.8409501258986, Avg_Score = 255.99189278889645
Episode = 229, Score = 301.1310863439493, Avg_Score = 259.0895404186724
Episode = 230, Score = 122.23514541442313, Avg_Score = 241.39226130574917
Episode = 231, Score = 283.1296988231668, Avg_Score = 240.81888869696186
Episode = 232, Score = 295.9162824710349, Avg_Score = 240.87391399369554
Episode = 233, Score = 256.39439168376913, Avg_Score = 241.28838165153797
Episode = 234, Score = 251.71976706865502, Avg_Score = 241.2118705624889
Episode = 235, Score = 296.1057509866029, Avg_Score = 244.35805970102047
Episode = 236, Score = 255.94719729066566, Avg_Score = 241.57063653522852
Episode = 237, Score = 256.75174396406703, Avg_Score = 242.1172014172232
Episode = 238, Score = 284.8847449070829, Avg_Score = 260.42158089534166
Episode = 239, Score = 224.23055901576328, Avg_Score = 252.7315281625231
Episode = 240, Score = 269.4860757959404, Avg_Score = 267.4566212006749
Episode = 241, Score = 27.843026946153756, Avg_Score = 241.9279540129735
Episode = 242, Score = 260.2787925084562, Avg_Score = 238.36420501671563
Episode = 243, Score = 111.79365631399205, Avg_Score = 223.9041314797379
Episode = 244, Score = 101.91382421537467, Avg_Score = 208.9235371944099
Episode = 245, Score = 127.4223883020649, Avg_Score = 192.0552009259561
Episode = 246, Score = 156.22609204266425, Avg_Score = 182.08309040115594
Episode = 247, Score = 247.39907632905107, Avg_Score = 181.1478236376543
Episode = 248, Score = 159.93488793835638, Avg_Score = 168.6528379407817
Episode = 249, Score = 268.6006849611293, Avg_Score = 173.0898505353183
Episode = 250, Score = 278.4592556665078, Avg_Score = 173.98716852237501
Episode = 251, Score = 138.41171692326836, Avg_Score = 185.04403752008648
Episode = 252, Score = 278.39352756943447, Avg_Score = 186.85551102618433
Episode = 253, Score = 301.33887942091803, Avg_Score = 205.8100333368769
Episode = 254, Score = 221.86804744753562, Avg_Score = 217.805455660093
Episode = 255, Score = 132.97883691526803, Avg_Score = 218.3611005214133
Episode = 256, Score = 296.7374568869618, Avg_Score = 232.41223700584305
Episode = 257, Score = -56.60250080955641, Avg_Score = 202.01207929198233
Episode = 258, Score = 149.71966699198717, Avg_Score = 200.9905571973454
Episode = 259, Score = 116.94010744631247, Avg_Score = 185.82449944586372
Episode = 260, Score = 214.1906702402609, Avg_Score = 179.39764090323905
Episode = 261, Score = 306.8485338923177, Avg_Score = 196.24132260014397
Episode = 262, Score = 307.83812748521996, Avg_Score = 199.18578259172253
Episode = 263, Score = 261.50517446487424, Avg_Score = 195.20241209611814
Episode = 264, Score = 88.24719157445743, Avg_Score = 181.8403265088103
Episode = 265, Score = 137.9462801076934, Avg_Score = 182.33707082805287
Episode = 266, Score = 299.441636333126, Avg_Score = 182.60748877266929
Episode = 267, Score = 277.9705626906325, Avg_Score = 216.06479512268817
Episode = 268, Score = 229.5888095243486, Avg_Score = 224.0517093759243
Episode = 269, Score = 293.06344181147756, Avg_Score = 241.66404281244087
Episode = 270, Score = 249.96661932049955, Avg_Score = 245.24163772046467
Episode = 271, Score = 238.29392156754653, Avg_Score = 238.38617648798754
Episode = 272, Score = 97.00992132333602, Avg_Score = 217.3033558717992
Episode = 273, Score = 277.50235475890844, Avg_Score = 218.90307390120262
Episode = 274, Score = 109.98712026135209, Avg_Score = 221.0770667698921
Episode = 275, Score = 288.47367363730405, Avg_Score = 236.1298061228531
Episode = 276, Score = 236.662663469087, Avg_Score = 229.85190883644924
Episode = 277, Score = 256.27359696430494, Avg_Score = 227.68221226381647
Episode = 278, Score = 245.70305678369567, Avg_Score = 229.29363698975118
Episode = 279, Score = 254.64761850664507, Avg_Score = 225.45205465926793
Episode = 280, Score = -33.40252719808554, Avg_Score = 197.11514000740942
Episode = 281, Score = 236.78644822346817, Avg_Score = 196.96439267300158
Episode = 282, Score = 124.09291373145396, Avg_Score = 199.6726919138134
Episode = 283, Score = 111.45340266598748, Avg_Score = 183.0677967045213
Episode = 284, Score = -19.879297253581313, Avg_Score = 170.08115495302792
Episode = 285, Score = 159.21432762734796, Avg_Score = 157.15522035203233
Episode = 286, Score = -48.20248894612054, Avg_Score = 128.66870511051158
Episode = 287, Score = 282.77368746901493, Avg_Score = 131.31871416098258
Episode = 288, Score = 229.8773277549896, Avg_Score = 129.73614125811199
Episode = 289, Score = 225.08049212013725, Avg_Score = 126.77942861946119
Episode = 290, Score = 237.59796662444015, Avg_Score = 153.8794780017138
Episode = 291, Score = 248.67101179335404, Avg_Score = 155.06793435870236
Episode = 292, Score = 247.78192417210965, Avg_Score = 167.43683540276794
Episode = 293, Score = 216.87254402280192, Avg_Score = 177.9787495384494
