Episode = 222, Score = 267.28626579928215, Avg_Score = 224.08803963364957
Episode = 223, Score = -278.3295575977413, Avg_Score = 219.9433349525298
Episode = 224, Score = 258.0387773427799, Avg_Score = 219.99711802500016
Episode = 225, Score = 251.6149473746094, Avg_Score = 219.86568198289262
Episode = 226, Score = 216.3552645190569, Avg_Score = 219.24058204262423
Episode = 227, Score = 262.47756038747434, Avg_Score = 219.37721167843546
Episode = 228, Score = 249.45309331795738, Avg_Score = 219.09230319901337
Episode = 229, Score = 265.18624900881963, Avg_Score = 218.89897604190188
Episode = 230, Score = 281.5901305564944, Avg_Score = 218.85846084690212
Episode = 231, Score = 259.5002460040304, Avg_Score = 219.00638969909562
Episode = 232, Score = 243.43415518046416, Avg_Score = 218.7034204790243
Episode = 233, Score = 231.87393813134204, Avg_Score = 219.4735012331694
Episode = 234, Score = 247.4582418215539, Avg_Score = 219.47455253198405
Episode = 235, Score = 124.43399173626455, Avg_Score = 217.83996427071128
Episode = 236, Score = 252.3564845012576, Avg_Score = 217.78216974478556
Episode = 237, Score = 271.85199762995336, Avg_Score = 219.02408422874282
Episode = 238, Score = 272.05623039196803, Avg_Score = 219.175755212928
Episode = 239, Score = 245.35724518537077, Avg_Score = 219.9100401564068
Episode = 240, Score = 259.7623817523011, Avg_Score = 219.68012557005815
Episode = 241, Score = 275.67781175824695, Avg_Score = 219.62333319793584
Episode = 242, Score = 249.0419084072072, Avg_Score = 219.54426155964163
Episode = 243, Score = 285.28812204705787, Avg_Score = 220.62052756746306
Episode = 244, Score = 268.8495337043127, Avg_Score = 220.44133022830883
Episode = 245, Score = 250.55616316704237, Avg_Score = 221.60854591150616
Episode = 246, Score = 281.25875893946477, Avg_Score = 221.6097840077426
Episode = 247, Score = 118.38383177493633, Avg_Score = 220.46329975371285
Episode = 248, Score = 266.69959123618946, Avg_Score = 220.1775067744527
Episode = 249, Score = 276.70350371186123, Avg_Score = 220.20742725085216
Episode = 250, Score = 247.50682115702452, Avg_Score = 222.32267556823044
Episode = 251, Score = 194.66973816998083, Avg_Score = 223.06078995056544
Episode = 252, Score = 42.72061686143968, Avg_Score = 220.8892098680288
Episode = 253, Score = 163.03018798243195, Avg_Score = 219.743514015375
Episode = 254, Score = 207.39107055849894, Avg_Score = 219.4285615713555
Episode = 255, Score = 270.9604496435535, Avg_Score = 219.68385527344668
Episode = 256, Score = -446.9497266103719, Avg_Score = 212.54040877818454
Episode = 257, Score = 250.45924293939882, Avg_Score = 212.63190649856443
Episode = 258, Score = 153.59482841860387, Avg_Score = 211.43638437736888
Episode = 259, Score = 270.3058879158347, Avg_Score = 212.75932193941918
Episode = 260, Score = 284.03286450340966, Avg_Score = 213.12074334471762
Episode = 261, Score = 211.98991559753964, Avg_Score = 214.09603986594615
Episode = 262, Score = 116.19851049630574, Avg_Score = 214.00305523297087
Episode = 263, Score = 241.72167513936287, Avg_Score = 213.9996300732808
Episode = 264, Score = 148.84563179788393, Avg_Score = 212.82256447586352
Episode = 265, Score = 289.8753833494086, Avg_Score = 213.02179862280823
Episode = 266, Score = 151.94934881733545, Avg_Score = 212.0786180912528
Episode = 267, Score = 247.8539842820485, Avg_Score = 213.23611357019192
Episode = 268, Score = 259.98478239945007, Avg_Score = 213.40690059033855
Episode = 269, Score = 266.96094306930104, Avg_Score = 215.15116913272658
Episode = 270, Score = 252.8707032602385, Avg_Score = 215.45442432208532
Episode = 271, Score = 263.492555338172, Avg_Score = 218.02491747479394
Episode = 272, Score = 241.44123063031753, Avg_Score = 219.55539643032816
Episode = 273, Score = 268.4999672723386, Avg_Score = 219.63125983375673
Episode = 274, Score = 259.51778053271175, Avg_Score = 219.31509421188315
Episode = 275, Score = 267.4841783001517, Avg_Score = 219.45800877313496
Episode = 276, Score = 148.2291129159051, Avg_Score = 219.53098313918937
Episode = 277, Score = 125.3174842195895, Avg_Score = 218.98575418845138
Episode = 278, Score = 280.6582748077799, Avg_Score = 219.03413627240093
Episode = 279, Score = 268.23743090515393, Avg_Score = 219.34544635579613
Episode = 280, Score = 126.88410971556205, Avg_Score = 217.85043888708358
Episode = 281, Score = 138.09888766052913, Avg_Score = 216.5360786973268
Episode = 282, Score = 248.31935530196924, Avg_Score = 216.39699719942058
Episode = 283, Score = 254.5772637286253, Avg_Score = 216.2524222046163
Episode = 284, Score = 264.70261153427293, Avg_Score = 216.38069870849142
Episode = 285, Score = 252.74163391778205, Avg_Score = 217.57918569748276
Episode = 286, Score = 271.4692946981258, Avg_Score = 217.74144354792358
Episode = 287, Score = 112.29492659351942, Avg_Score = 216.39431851623428
Episode = 288, Score = 240.9877711549507, Avg_Score = 216.4660902254452
Episode = 289, Score = 263.4546045329946, Avg_Score = 216.53870149380117
Episode = 290, Score = 241.636901659145, Avg_Score = 216.1190569751629
Episode = 291, Score = 292.87837813558735, Avg_Score = 216.3344681975035
Episode = 292, Score = 268.37308799516313, Avg_Score = 216.36163581246473
Episode = 293, Score = 287.0198453404231, Avg_Score = 216.76104867570177
Episode = 294, Score = 280.88766160702676, Avg_Score = 217.20656718361823
Episode = 295, Score = 279.42850342914636, Avg_Score = 217.6409684606091
Episode = 296, Score = 262.16904855125983, Avg_Score = 217.36602459935642
Episode = 297, Score = 245.14506939502007, Avg_Score = 217.53861523041877
Episode = 298, Score = 264.4634659060359, Avg_Score = 218.9851145681492
Episode = 299, Score = 236.1174984513158, Avg_Score = 220.23533029260966
Episode = 300, Score = 298.4306147979026, Avg_Score = 223.32233730954198
Episode = 301, Score = 251.4312092355068, Avg_Score = 223.26757901971362
Episode = 302, Score = 249.95195061053815, Avg_Score = 223.5558420663091
Episode = 303, Score = 295.81291687468786, Avg_Score = 224.05373868302075
Episode = 304, Score = 254.5237585293142, Avg_Score = 223.99702576794544
Episode = 305, Score = 231.77422967495286, Avg_Score = 223.82356023606718
Episode = 306, Score = 291.99254910075695, Avg_Score = 225.5727303672354
Episode = 307, Score = 263.5456120944101, Avg_Score = 225.58085383765086
Episode = 308, Score = 153.45791515446376, Avg_Score = 225.90827016157695
Episode = 309, Score = 189.8342599035263, Avg_Score = 226.13979756564135
Episode = 310, Score = 236.01004557935084, Avg_Score = 225.9210240541111
Episode = 311, Score = 258.84030064088586, Avg_Score = 225.5959968332696
Episode = 312, Score = 271.19737173299984, Avg_Score = 225.71040515722365
Episode = 313, Score = 249.9183211577975, Avg_Score = 225.5098987779282
Episode = 314, Score = 135.01090261435286, Avg_Score = 224.05430276596522
Episode = 315, Score = 158.1164500036925, Avg_Score = 223.1046786678818
Episode = 316, Score = 249.89841745839382, Avg_Score = 224.25398937164795
Episode = 317, Score = 131.43375009622406, Avg_Score = 223.08225714492767
Episode = 318, Score = 261.8883816493101, Avg_Score = 222.99498230441114
Episode = 319, Score = 259.10922952358055, Avg_Score = 224.28004179795755
Episode = 320, Score = 254.2293780923752, Avg_Score = 224.49442917228333
Episode = 321, Score = 181.18499001425258, Avg_Score = 223.62310216308083
Episode = 322, Score = 289.8687524969484, Avg_Score = 223.84892703005752
Episode = 323, Score = 208.88879117589866, Avg_Score = 228.7211105177939
Episode = 324, Score = 252.70301931978082, Avg_Score = 228.66775293756393
Episode = 325, Score = 225.25422160556803, Avg_Score = 228.40414567987352
Episode = 326, Score = 258.86215401479126, Avg_Score = 228.82921457483084
Episode = 327, Score = 272.0452970521201, Avg_Score = 228.9248919414773
Episode = 328, Score = 302.4391648574888, Avg_Score = 229.45475265687259
Episode = 329, Score = 274.2781168625693, Avg_Score = 229.5456713354101
Episode = 330, Score = 255.33534392290136, Avg_Score = 229.28312346907424
Episode = 331, Score = 141.90115271692872, Avg_Score = 228.1071325362032
Episode = 332, Score = 154.7147654390272, Avg_Score = 227.21993863878885
Episode = 333, Score = 125.64206526085151, Avg_Score = 226.15761991008392
Episode = 334, Score = 235.04469521014266, Avg_Score = 226.03348444396977
Episode = 335, Score = 150.24439628456304, Avg_Score = 226.29158848945278
Episode = 336, Score = 113.47095001622026, Avg_Score = 224.9027331446024
Episode = 337, Score = 296.2597325757016, Avg_Score = 225.1468104940599
Episode = 338, Score = 248.31470564545603, Avg_Score = 224.90939524659476
Episode = 339, Score = 290.2947345013622, Avg_Score = 225.35877013975468
Episode = 340, Score = 276.5354345429072, Avg_Score = 225.52650066766074
Episode = 341, Score = 262.8489169437628, Avg_Score = 225.39821171951593
Episode = 342, Score = 265.65335512761555, Avg_Score = 225.56432618672
Episode = 343, Score = 264.6385544410251, Avg_Score = 225.3578305106597
Episode = 344, Score = 281.7955371303458, Avg_Score = 225.48729054492
Episode = 345, Score = 254.75330410808812, Avg_Score = 225.52926195433048
Episode = 346, Score = 247.24599655135546, Avg_Score = 225.18913433044938
Episode = 347, Score = 232.37453193627732, Avg_Score = 226.32904133206281
Episode = 348, Score = 142.1113804691715, Avg_Score = 225.08315922439257
Episode = 349, Score = 240.73690340604597, Avg_Score = 224.72349322133442
Episode = 350, Score = 261.17546962508135, Avg_Score = 224.86017970601503
Episode = 351, Score = 283.5559266684552, Avg_Score = 225.74904159099978
Episode = 352, Score = 258.2136829537335, Avg_Score = 227.9039722519227
Episode = 353, Score = 234.60637116054835, Avg_Score = 228.6197340837039
Episode = 354, Score = 247.9140411510001, Avg_Score = 229.02496378962888
Episode = 355, Score = 258.8210559200668, Avg_Score = 228.90356985239404
Episode = 356, Score = 241.52658379154673, Avg_Score = 235.78833295641323
Episode = 357, Score = 103.96067520314776, Avg_Score = 234.3233472790507
Episode = 358, Score = 142.50545365157956, Avg_Score = 234.21245353138042
Episode = 359, Score = -86.79978937819402, Avg_Score = 230.6413967584401
Episode = 360, Score = 229.14066069224987, Avg_Score = 230.09247472032854
Episode = 361, Score = 256.7121529145503, Avg_Score = 230.53969709349866
Episode = 362, Score = 144.07531947361048, Avg_Score = 230.81846518327174
Episode = 363, Score = 238.05242690819827, Avg_Score = 230.78177270096006
