Episode = 276, Score = 230.32295925534814, Avg_Score = 173.81306493237005
Episode = 277, Score = 261.08895844283626, Avg_Score = 176.07223583307464
Episode = 278, Score = 3.282331236303577, Avg_Score = 156.5733844512071
Episode = 279, Score = 226.28535757761125, Avg_Score = 154.24035310906572
Episode = 280, Score = 250.22727904816637, Avg_Score = 183.66544970926608
Episode = 281, Score = 275.9614315871688, Avg_Score = 183.4806739380218
Episode = 282, Score = 199.83531526433887, Avg_Score = 180.25236578924
Episode = 283, Score = 262.60451336706205, Avg_Score = 182.8651663819113
Episode = 284, Score = 33.45333110429448, Avg_Score = 162.06995299881248
Episode = 285, Score = 253.00333096860675, Avg_Score = 199.60648078517366
Episode = 286, Score = 167.05485134084137, Avg_Score = 193.279669993723
Episode = 287, Score = -43.89902219320782, Avg_Score = 162.78087193011856
Episode = 288, Score = 243.23702474207425, Avg_Score = 186.77634128069562
Episode = 289, Score = 252.63585552109734, Avg_Score = 189.41139107504424
Episode = 290, Score = 242.42393093839019, Avg_Score = 188.63105626406664
Episode = 291, Score = 232.4752342726769, Avg_Score = 184.28243653261742
Episode = 292, Score = -72.89998072614625, Avg_Score = 157.00890693356897
Episode = 293, Score = 206.9557659033964, Avg_Score = 151.44403218720237
Episode = 294, Score = 142.77871766127177, Avg_Score = 162.3765708429001
Episode = 295, Score = -101.37303900161886, Avg_Score = 126.93893384587753
Episode = 296, Score = 196.9259018758858, Avg_Score = 129.92603889938195
Episode = 297, Score = 288.05410271077955, Avg_Score = 163.1213513897807
Episode = 298, Score = 0.4894860325561581, Avg_Score = 138.8465975188289
Episode = 299, Score = 203.34158872563972, Avg_Score = 133.91717083928316
Episode = 301, Score = 241.15197502900133, Avg_Score = 133.78997524834423
Episode = 302, Score = 237.97708617630255, Avg_Score = 134.34016043870682
Episode = 303, Score = 250.04432927413532, Avg_Score = 166.63459143873496
Episode = 304, Score = 295.136539245529, Avg_Score = 175.45266877294824
Episode = 305, Score = 270.4749696166788, Avg_Score = 188.22229396848894
Episode = 306, Score = 209.00556817982778, Avg_Score = 219.2601546866336
Episode = 308, Score = -285.67562961027664, Avg_Score = 171.00000153801736
Episode = 309, Score = -38.63627361814348, Avg_Score = 138.33096390512503
Episode = 311, Score = 271.36956990509714, Avg_Score = 165.41897229237915
Episode = 312, Score = -7.222645710035422, Avg_Score = 144.36254884881163
Episode = 313, Score = 169.35651865226055, Avg_Score = 137.18300321113753
Episode = 314, Score = 280.45073160958407, Avg_Score = 141.43036775446572
Episode = 315, Score = 191.61978201040415, Avg_Score = 135.5879130280926
Episode = 316, Score = 204.27481159953567, Avg_Score = 126.50174026349325
Episode = 317, Score = 237.70408277221063, Avg_Score = 123.22465157904644
Episode = 318, Score = 199.5111546659795, Avg_Score = 122.27521022766162
Episode = 319, Score = 167.76264254534848, Avg_Score = 167.61903744322413
Episode = 320, Score = 271.65086628535073, Avg_Score = 198.64775143357355
Episode = 321, Score = 238.73539499601782, Avg_Score = 195.38433394266562
Episode = 322, Score = -13.436676829773859, Avg_Score = 194.7629308306918
Episode = 323, Score = 245.83615021904038, Avg_Score = 202.41089398736975
Episode = 324, Score = 6.816293873761225, Avg_Score = 175.04745021378747
Episode = 325, Score = 254.3842264868501, Avg_Score = 181.32389466143206
Episode = 326, Score = -204.1398651653281, Avg_Score = 140.4824269849457
Episode = 327, Score = 271.8174567687229, Avg_Score = 143.89376438459692
Episode = 328, Score = -66.43476547828665, Avg_Score = 117.2991723701703
Episode = 329, Score = 273.4795771768188, Avg_Score = 127.87086583331734
Episode = 331, Score = 286.8191235206544, Avg_Score = 129.3876915568477
Episode = 332, Score = 176.275945018442, Avg_Score = 123.1417465590901
Episode = 333, Score = -41.716501117643176, Avg_Score = 120.31376413030316
Episode = 334, Score = 221.5455989264716, Avg_Score = 117.8847090010463
Episode = 335, Score = 247.28321067764196, Avg_Score = 141.93140068143438
Episode = 336, Score = 267.31309485765956, Avg_Score = 143.22428751851533
Episode = 337, Score = 264.3782168319294, Avg_Score = 190.07609571824108
Episode = 338, Score = 148.08884020689163, Avg_Score = 177.703234062058
Episode = 339, Score = 216.8352476033333, Avg_Score = 206.03023537021994
Episode = 340, Score = 261.0896086084484, Avg_Score = 204.7912385133829
Episode = 341, Score = 277.71946756177977, Avg_Score = 203.88127291749544
Episode = 342, Score = 237.02435666711418, Avg_Score = 209.9561140823627
Episode = 344, Score = 234.82540749903185, Avg_Score = 237.61030494403016
Episode = 345, Score = 266.9759488272546, Avg_Score = 242.1533399341085
Episode = 346, Score = -104.30643394799507, Avg_Score = 206.99437547154474
Episode = 347, Score = 187.75746788107466, Avg_Score = 199.03881277388626
Episode = 348, Score = 72.51877152035867, Avg_Score = 179.85286824272922
Episode = 349, Score = 8.322453712494237, Avg_Score = 165.87622959328945
Episode = 350, Score = 181.3189911906943, Avg_Score = 162.32460395202557
Episode = 351, Score = 206.50154035636288, Avg_Score = 156.865797126817
Episode = 352, Score = 245.83590233685274, Avg_Score = 153.67744060432432
Episode = 353, Score = 11.706609534780071, Avg_Score = 131.14566589109089
Episode = 354, Score = -113.80894207975565, Avg_Score = 96.28223093321213
