Episode = 328, Score = 168.84980661798025, Avg_Score = 164.80507344707334
Episode = 329, Score = 305.35686699782354, Avg_Score = 188.08699837131013
Episode = 330, Score = 134.9916475273153, Avg_Score = 188.4799468755894
Episode = 331, Score = 257.653938293994, Avg_Score = 184.80989202275418
Episode = 332, Score = 110.40555169779947, Avg_Score = 177.7387378034229
Episode = 333, Score = 140.50547995502353, Avg_Score = 183.9017910473293
Episode = 334, Score = 260.1932613465363, Avg_Score = 194.28163589184598
Episode = 335, Score = 137.68305772332826, Avg_Score = 198.42771050259324
Episode = 336, Score = 156.63718854799018, Avg_Score = 186.89519433866658
Episode = 337, Score = 71.55144216705071, Avg_Score = 174.38282408748415
Episode = 338, Score = 169.04458962855705, Avg_Score = 174.40230238854184
Episode = 339, Score = 257.01947793865645, Avg_Score = 169.56856348262514
Episode = 340, Score = 142.2595097300159, Avg_Score = 170.29534970289518
Episode = 341, Score = 273.50082489467826, Avg_Score = 171.8800383629636
Episode = 342, Score = 160.60700296137037, Avg_Score = 176.90018348932068
Episode = 343, Score = 124.00669166518952, Avg_Score = 175.2503046603373
Episode = 344, Score = 174.97031322226394, Avg_Score = 166.72800984791007
Episode = 345, Score = 153.79470899782322, Avg_Score = 168.33917497535955
Episode = 346, Score = 97.1337937810388, Avg_Score = 162.3888354986644
Episode = 347, Score = 10.960377093674396, Avg_Score = 156.3297289913268
Episode = 348, Score = -54.89153692836115, Avg_Score = 133.93611633563498
Episode = 349, Score = 196.15307484741302, Avg_Score = 127.84947602651064
Episode = 350, Score = 161.6316981397593, Avg_Score = 129.78669486748498
Episode = 351, Score = 123.761993776684, Avg_Score = 114.81281175568554
Episode = 352, Score = 145.9205853648549, Avg_Score = 113.344169996034
Episode = 353, Score = 144.66439220964935, Avg_Score = 115.40994005047996
Episode = 354, Score = 133.3530959007564, Avg_Score = 111.24821831832924
Episode = 355, Score = -5.201901785763198, Avg_Score = 95.34855723997057
Episode = 356, Score = 101.9291007808851, Avg_Score = 95.82808793995521
Episode = 357, Score = 164.845760592909, Avg_Score = 111.21662628987868
Episode = 358, Score = 150.11425637516572, Avg_Score = 131.71720562023137
Episode = 359, Score = 163.6852750539299, Avg_Score = 128.47042564088304
Episode = 360, Score = 97.35447023120497, Avg_Score = 122.04270285002761
Episode = 361, Score = 136.4917664759543, Avg_Score = 123.31568011995464
Episode = 362, Score = 7.6138387881995016, Avg_Score = 109.48500546228911
Episode = 363, Score = 190.99386086349628, Avg_Score = 114.11795232767379
Episode = 364, Score = 147.1894250272149, Avg_Score = 115.50158524031966
Episode = 365, Score = 137.54997742365018, Avg_Score = 129.776773161261
Episode = 366, Score = 126.59505573342032, Avg_Score = 132.24336865651452
Episode = 367, Score = 139.04632497929023, Avg_Score = 129.66342509515263
Episode = 368, Score = 160.64058117264656, Avg_Score = 130.7160575749007
Episode = 369, Score = 128.4349096997366, Avg_Score = 127.1910210394814
Episode = 370, Score = 185.64929978713192, Avg_Score = 136.02050399507408
Episode = 371, Score = 131.9870628633636, Avg_Score = 135.57003363381503
Episode = 372, Score = 171.6254534231273, Avg_Score = 151.97119509730777
Episode = 373, Score = 254.71021390515858, Avg_Score = 158.34283040147403
Episode = 374, Score = 11.51627358186596, Avg_Score = 144.77551525693914
Episode = 375, Score = 123.58675703614259, Avg_Score = 143.3791932181884
Episode = 376, Score = 2.0856870408400425, Avg_Score = 130.92825634893035
Episode = 377, Score = 194.2324272619852, Avg_Score = 136.44686657719984
Episode = 378, Score = -29.902377190680042, Avg_Score = 117.39257074086717
Episode = 379, Score = 105.78765435438613, Avg_Score = 115.12784520633213
Episode = 380, Score = 156.7248722338965, Avg_Score = 112.2354024510086
Episode = 381, Score = 142.74678585328618, Avg_Score = 113.31137475000085
Episode = 382, Score = 263.06506726856105, Avg_Score = 122.45533613454423
Episode = 383, Score = 179.5558405626347, Avg_Score = 114.93989880029184
Episode = 384, Score = 189.94885583446404, Avg_Score = 132.78315702555165
Episode = 385, Score = 289.61846915757303, Avg_Score = 149.38632823769467
Episode = 386, Score = 154.21000442766498, Avg_Score = 164.59875997637718
Episode = 387, Score = 140.4202895635853, Avg_Score = 159.21754620653718
Episode = 388, Score = 241.87202427838042, Avg_Score = 186.39498635344324
Episode = 389, Score = 157.55762024978756, Avg_Score = 191.57198294298337
Episode = 390, Score = 126.73415147308741, Avg_Score = 188.57291086690248
Episode = 391, Score = 204.79884980886226, Avg_Score = 194.77811726246006
Episode = 392, Score = 234.07462852625625, Avg_Score = 191.8790733882296
Episode = 393, Score = 159.68856715887935, Avg_Score = 189.89234604785406
Episode = 394, Score = 205.03365042556553, Avg_Score = 191.40082550696422
Episode = 395, Score = 156.7815958168947, Avg_Score = 178.11713817289638
Episode = 396, Score = 273.4201040767832, Avg_Score = 190.0381481378082
Episode = 397, Score = 151.9176244777299, Avg_Score = 191.18788162922266
Episode = 398, Score = 269.7604020094391, Avg_Score = 193.97671940232854
Episode = 399, Score = 133.12083642381398, Avg_Score = 191.53304101973114
