Episode = 277, Score = 277.3935443628177, Avg_Score = 243.46803345187354
Episode = 278, Score = 235.1510000869025, Avg_Score = 238.80548723099793
Episode = 279, Score = 275.57099393634144, Avg_Score = 239.86660670204097
Episode = 280, Score = 285.51608486809255, Avg_Score = 245.15508487414726
Episode = 281, Score = 236.96241279600613, Avg_Score = 246.82383763470187
Episode = 282, Score = 263.77537477358294, Avg_Score = 247.32433107840365
Episode = 283, Score = 257.3771699087104, Avg_Score = 250.4559842590955
Episode = 284, Score = 215.1582506592598, Avg_Score = 249.0094908542745
Episode = 285, Score = 230.61145132309682, Avg_Score = 249.6496883890668
Episode = 286, Score = 313.7184142384313, Avg_Score = 259.12346969532416
Episode = 287, Score = 251.83126964662102, Avg_Score = 256.5672422237045
Episode = 288, Score = 228.73036103104036, Avg_Score = 255.9251783181183
Episode = 289, Score = 280.7974731167602, Avg_Score = 256.44782623616015
Episode = 290, Score = -5.722909739280311, Avg_Score = 227.32392677542288
Episode = 291, Score = -18.87021543841543, Avg_Score = 201.7406639519807
Episode = 292, Score = 317.9220595840169, Avg_Score = 207.1553324330241
Episode = 293, Score = 212.4246577959051, Avg_Score = 202.66008122174358
Episode = 294, Score = 271.29648237756044, Avg_Score = 208.27390439357364
Episode = 295, Score = 274.49996956579633, Avg_Score = 212.66275621784357
Episode = 296, Score = 62.32014148745094, Avg_Score = 187.52292894274555
Episode = 297, Score = -3.2884395019416957, Avg_Score = 162.01095802788927
Episode = 298, Score = 247.17062250525763, Avg_Score = 163.85498417531102
Episode = 299, Score = 248.8381575871188, Avg_Score = 160.65905262234685
Episode = 300, Score = 210.56500976005304, Avg_Score = 182.28784457228022
Episode = 301, Score = 250.7832722155977, Avg_Score = 209.25319333768152
Episode = 302, Score = 269.20773716259885, Avg_Score = 204.3817610955397
Episode = 303, Score = 248.739506790413, Avg_Score = 208.01324599499048
Episode = 304, Score = 259.0753068417597, Avg_Score = 206.79112844141045
Episode = 305, Score = 275.69237336411175, Avg_Score = 206.910368821242
Episode = 306, Score = 275.9368298120297, Avg_Score = 228.27203765369987
Episode = 307, Score = 270.3278136193737, Avg_Score = 255.63366296583135
Episode = 308, Score = 289.61605748179187, Avg_Score = 259.8782064634848
Episode = 309, Score = 270.2235457498854, Avg_Score = 262.0167452797615
Episode = 310, Score = 267.5552721953668, Avg_Score = 267.71577152329286
Episode = 311, Score = 260.91702921816193, Avg_Score = 268.72914722354926
Episode = 312, Score = 238.94338586197944, Avg_Score = 265.7027120934873
Episode = 313, Score = 218.2917970243061, Avg_Score = 262.65794111687666
Episode = 314, Score = 258.35665092631086, Avg_Score = 262.58607552533175
Episode = 315, Score = 272.1711513358658, Avg_Score = 262.2339533225072
Episode = 316, Score = 242.3832141654919, Avg_Score = 258.87859175785337
Episode = 317, Score = -14.103443760910878, Avg_Score = 230.43546601982493
Episode = 318, Score = 225.23593824880433, Avg_Score = 223.99745409652616
Episode = 319, Score = 253.44182368477715, Avg_Score = 222.31928189001536
Episode = 320, Score = 275.1252920225336, Avg_Score = 223.07628387273203
Episode = 321, Score = 261.9081574145122, Avg_Score = 223.1753966923671
Episode = 322, Score = 254.28053406210697, Avg_Score = 224.7091115123798
Episode = 323, Score = 130.46191723174513, Avg_Score = 215.9261235331237
Episode = 324, Score = 214.2869107544518, Avg_Score = 211.5191495159378
Episode = 325, Score = 222.52105507756158, Avg_Score = 206.5541398901074
Episode = 326, Score = 221.8799883325174, Avg_Score = 204.5038173068099
Episode = 327, Score = 20.63443967450634, Avg_Score = 207.97760565035165
Episode = 328, Score = 230.40435881326673, Avg_Score = 208.49444770679787
Episode = 329, Score = 199.04609875796098, Avg_Score = 203.0548752141163
Episode = 330, Score = 274.56750281513905, Avg_Score = 202.9990962933768
Episode = 331, Score = 197.37292609626132, Avg_Score = 196.54557316155174
Episode = 332, Score = -36.57994315980994, Avg_Score = 167.45952543936002
Episode = 333, Score = 242.75192766604752, Avg_Score = 178.68852648279028
Episode = 334, Score = 269.6512972666657, Avg_Score = 184.22496513401168
Episode = 335, Score = -3.592679058831635, Avg_Score = 161.61359172037237
Episode = 336, Score = 292.19369934109295, Avg_Score = 168.6449628212299
Episode = 337, Score = 305.5507678408899, Avg_Score = 197.13659563786825
Episode = 338, Score = 244.86533876176054, Avg_Score = 198.58269363271762
Episode = 339, Score = 270.1847648523583, Avg_Score = 205.69656024215737
Episode = 340, Score = 264.6662192511653, Avg_Score = 204.70643188575997
Episode = 341, Score = 242.3081004990711, Avg_Score = 209.19994932604095
Episode = 342, Score = 17.356544599703113, Avg_Score = 214.59359810199226
Episode = 343, Score = 245.72261005401165, Avg_Score = 214.89066634078867
Episode = 344, Score = 245.59079810362059, Avg_Score = 212.4846164244842
Episode = 345, Score = 237.28215263329844, Avg_Score = 236.5720995936972
Episode = 346, Score = 265.7012801853733, Avg_Score = 233.92285767812524
Episode = 347, Score = 245.56085447321374, Avg_Score = 227.9238663413576
Episode = 348, Score = 281.57745326894076, Avg_Score = 231.59507779207564
Episode = 349, Score = 290.0442660363651, Avg_Score = 233.5810279104763
Episode = 350, Score = 242.6088241999354, Avg_Score = 231.37528840535333
Episode = 351, Score = 301.74065920869293, Avg_Score = 237.31854427631552
Episode = 352, Score = 273.3305064760784, Avg_Score = 262.915940463953
Episode = 353, Score = 227.80720969916527, Avg_Score = 261.12440042846845
Episode = 354, Score = 257.40137818296455, Avg_Score = 262.3054584364028
Episode = 355, Score = 95.66173465074888, Avg_Score = 248.1434166381478
Episode = 356, Score = 290.8484141749, Avg_Score = 250.65813003710045
Episode = 357, Score = 249.64893111538373, Avg_Score = 251.0669377013175
Episode = 358, Score = 248.68217178039416, Avg_Score = 247.7774095524628
Episode = 359, Score = 236.90655896648545, Avg_Score = 242.46363884547492
Episode = 360, Score = 246.68028506554936, Avg_Score = 242.87078493203626
Episode = 361, Score = 262.5487251836763, Avg_Score = 238.9515915295346
Episode = 362, Score = 264.97467743004853, Avg_Score = 238.1160086249316
Episode = 363, Score = 254.96648357715057, Avg_Score = 240.8319360127301
Episode = 364, Score = 259.7281164966272, Avg_Score = 241.06460984409642
Episode = 365, Score = 260.6277617726538, Avg_Score = 257.5612125562869
