Episode = 177, Score = 82.87631534363915, Avg_Score = 72.63946692636111
Episode = 178, Score = 252.9797409041132, Avg_Score = 97.10529323536413
Episode = 179, Score = 121.6323175524953, Avg_Score = 107.63297101852773
Episode = 180, Score = 7.2640635166317935, Avg_Score = 113.89138999967572
Episode = 181, Score = 256.8779816092818, Avg_Score = 136.9917295801103
Episode = 182, Score = 272.82612291799535, Avg_Score = 160.20434154212543
Episode = 183, Score = 42.80924140760061, Avg_Score = 162.98268844095043
Episode = 184, Score = 24.25615862870677, Avg_Score = 135.63175003291911
Episode = 185, Score = 9.38348389341725, Avg_Score = 112.9634456408631
Episode = 186, Score = 41.7762131613911, Avg_Score = 111.26816389352723
Episode = 187, Score = 152.1007879126815, Avg_Score = 118.19061115043147
Episode = 188, Score = 252.54879447966616, Avg_Score = 118.14751650798675
Episode = 189, Score = 51.697002053121565, Avg_Score = 111.1539849580494
Episode = 190, Score = 232.8722874583821, Avg_Score = 133.71480735222445
Episode = 191, Score = 143.42489907229063, Avg_Score = 122.36949909852531
Episode = 192, Score = 38.54238586106436, Avg_Score = 98.94112539283219
Episode = 193, Score = 10.394580439419329, Avg_Score = 95.69965929601408
Episode = 194, Score = 114.77663517371866, Avg_Score = 104.75170695051527
Episode = 195, Score = 7.730629575075923, Avg_Score = 104.58642151868112
Episode = 196, Score = 236.15002559457315, Avg_Score = 124.02380276199933
Episode = 197, Score = 231.10142958944604, Avg_Score = 131.9238669296758
Episode = 198, Score = -34.05354902712294, Avg_Score = 103.26363257899689
Episode = 199, Score = 274.84648843090235, Avg_Score = 125.57858121677495
Episode = 200, Score = 243.09231669177055, Avg_Score = 126.6005841401138
Episode = 201, Score = 284.74032300003876, Avg_Score = 140.7321265328886
Episode = 202, Score = -12.801992553479224, Avg_Score = 135.59768869143426
Episode = 203, Score = 296.7825271720148, Avg_Score = 164.2364833646938
Episode = 204, Score = -224.15148822720923, Avg_Score = 130.34367102460104
Episode = 205, Score = 232.75300874264695, Avg_Score = 152.84590894135812
Episode = 206, Score = -186.8096388794301, Avg_Score = 110.54994249395779
Episode = 207, Score = 235.46645878355977, Avg_Score = 110.98644541336917
Episode = 208, Score = 31.05434725741884, Avg_Score = 117.49723504182334
Episode = 209, Score = 248.6898295233943, Avg_Score = 114.88156915107254
Episode = 210, Score = 299.10253180412997, Avg_Score = 120.48259066230848
Episode = 211, Score = 32.98374292526108, Avg_Score = 95.30693265483072
Episode = 212, Score = 229.5746572217931, Avg_Score = 119.54459763235795
Episode = 213, Score = 20.199175937720042, Avg_Score = 91.88626250892848
Episode = 214, Score = 252.17011984966746, Avg_Score = 139.51842331661615
Episode = 215, Score = 272.2192115831824, Avg_Score = 143.46504360066967
Episode = 216, Score = 226.38875327792357, Avg_Score = 184.78488281640506
Episode = 217, Score = 287.7560070985787, Avg_Score = 190.01383764790697
Episode = 218, Score = 290.08820278228336, Avg_Score = 215.91722320039344
Episode = 219, Score = 8.095753566493812, Avg_Score = 191.85781560470335
Episode = 220, Score = 240.59195273030207, Avg_Score = 186.00675769732055
Episode = 221, Score = -228.6408666067542, Avg_Score = 159.84429674411905
Episode = 222, Score = 247.508258937895, Avg_Score = 161.63765691572922
Episode = 223, Score = 267.81284357761547, Avg_Score = 186.39902367971874
Episode = 224, Score = -52.906013075966825, Avg_Score = 155.89141038715533
Episode = 225, Score = 270.4113627297291, Avg_Score = 155.71062550181003
Episode = 226, Score = 34.0807753803592, Avg_Score = 136.47982771205358
Episode = 227, Score = 143.62562082910912, Avg_Score = 122.06678908510659
Episode = 228, Score = 44.55798721279007, Avg_Score = 97.51376752815727
Episode = 229, Score = -44.87258315112773, Avg_Score = 92.21693385639512
Episode = 230, Score = 115.95677357074624, Avg_Score = 79.75341594043954
Episode = 231, Score = 258.96268871242455, Avg_Score = 128.5137714723574
Episode = 232, Score = -27.777544247062238, Avg_Score = 100.98519115386168
Episode = 233, Score = 35.0313263109133, Avg_Score = 77.70703942719148
Episode = 234, Score = 197.34291164554358, Avg_Score = 102.73193189934253
Episode = 235, Score = 76.04584585745853, Avg_Score = 83.29538021211548
Episode = 236, Score = -57.01942075963319, Avg_Score = 74.18536059811622
Episode = 237, Score = 214.37780265515622, Avg_Score = 81.26057878072093
Episode = 238, Score = 248.8618693962466, Avg_Score = 101.69096699906659
Episode = 239, Score = 37.21336115128247, Avg_Score = 109.89956142930762
Episode = 240, Score = 20.127595764293204, Avg_Score = 100.3166436486623
Episode = 241, Score = 14.288804024166382, Avg_Score = 75.84925517983649
Episode = 242, Score = -23.029365214112644, Avg_Score = 76.32407308313145
Episode = 243, Score = 223.94064204775623, Avg_Score = 95.21500465681574
Episode = 244, Score = 269.79595869524195, Avg_Score = 102.46030936178556
Episode = 245, Score = -23.426108116555568, Avg_Score = 92.51311396438415
Episode = 246, Score = 34.942211965563956, Avg_Score = 101.70927723690387
Episode = 247, Score = 287.02533027367525, Avg_Score = 108.97402999875578
Episode = 248, Score = 186.61280983518512, Avg_Score = 102.74912404264963
Episode = 249, Score = 232.95822320248158, Avg_Score = 122.32361024776954
Episode = 250, Score = 37.34106905710502, Avg_Score = 124.04495757705072
Episode = 251, Score = 270.6220765246734, Avg_Score = 149.67828482710144
Episode = 252, Score = -2.519546369697892, Avg_Score = 151.7292667115429
Episode = 253, Score = 54.6471556268493, Avg_Score = 134.7999180694522
Episode = 254, Score = -36.19137603525719, Avg_Score = 104.2011845964023
Episode = 255, Score = 51.76654601863024, Avg_Score = 111.72045000992087
Episode = 256, Score = 260.200846546906, Avg_Score = 134.24631346805506
Episode = 257, Score = 21.452252327672056, Avg_Score = 107.68900567345477
Episode = 258, Score = 228.14380238208162, Avg_Score = 111.84210492814441
Episode = 259, Score = 233.05796623970525, Avg_Score = 111.85207923186677
Episode = 260, Score = 296.85008808537793, Avg_Score = 137.80298113469408
Episode = 261, Score = -2.791412612547873, Avg_Score = 110.46163222097194
Episode = 262, Score = 119.24444493519206, Avg_Score = 122.63803135146091
Episode = 263, Score = 157.3390209282006, Avg_Score = 132.90721788159607
Episode = 264, Score = 66.66231775997997, Avg_Score = 143.1925872611198
Episode = 265, Score = -32.06760867825794, Avg_Score = 134.80917179143097
Episode = 266, Score = 46.93647449289017, Avg_Score = 113.48273458602935
Episode = 267, Score = -49.518837298027734, Avg_Score = 106.38562562345942
Episode = 268, Score = 134.65057014253173, Avg_Score = 97.03630239950441
Episode = 269, Score = 136.60418649234455, Avg_Score = 87.39092442476834
Episode = 270, Score = -3.604698991805492, Avg_Score = 57.345445717050005
Episode = 271, Score = 141.7023564267245, Avg_Score = 71.79482262097724
Episode = 272, Score = 252.4610012521824, Avg_Score = 85.11647825267627
Episode = 273, Score = 24.805234519636855, Avg_Score = 71.8630996118199
Episode = 274, Score = 83.87288332525213, Avg_Score = 73.58415616834712
Episode = 275, Score = 237.86061891694217, Avg_Score = 100.57697892786713
Episode = 276, Score = 11.583361166801154, Avg_Score = 97.04166759525823
Episode = 277, Score = -16.682982302733464, Avg_Score = 100.32525309478766
Episode = 278, Score = 235.88828682084235, Avg_Score = 110.44902476261873
Episode = 279, Score = 264.3169825730832, Avg_Score = 123.22030437069259
Episode = 280, Score = -9.992265940398994, Avg_Score = 122.58154767583324
Episode = 281, Score = 273.93406005369985, Avg_Score = 135.80471803853075
Episode = 282, Score = 3.2375876158133963, Avg_Score = 110.88237667489389
Episode = 283, Score = 4.435375730902621, Avg_Score = 108.84539079602045
Episode = 284, Score = 50.315373167708756, Avg_Score = 105.48963978026612
Episode = 285, Score = 275.98487782592923, Avg_Score = 109.30206567116481
Episode = 286, Score = 213.03392711048048, Avg_Score = 129.44712226553276
Episode = 287, Score = 237.78873493852623, Avg_Score = 154.8942939896587
Episode = 288, Score = 297.5117831020235, Avg_Score = 161.0566436177768
Episode = 289, Score = 31.488504479988933, Avg_Score = 137.7737958084674
Episode = 290, Score = 253.91504372634444, Avg_Score = 164.16452677514175
Episode = 291, Score = 235.52754819597254, Avg_Score = 160.323875589369
Episode = 292, Score = 277.71336926275353, Avg_Score = 187.771453754063
Episode = 293, Score = 295.46982521535335, Avg_Score = 216.87489870250812
Episode = 294, Score = 279.25785216273255, Avg_Score = 239.76914660201047
Episode = 295, Score = -51.43508686696672, Avg_Score = 207.02715013272086
Episode = 296, Score = 138.31047702304778, Avg_Score = 199.5548051239776
Episode = 297, Score = 39.72089088944864, Avg_Score = 179.74802071906987
Episode = 298, Score = 277.1402886062203, Avg_Score = 177.71087126948953
Episode = 299, Score = 61.414117592002114, Avg_Score = 180.70343258069084
Episode = 300, Score = 282.0743114255776, Avg_Score = 183.51935935061417
Episode = 301, Score = 178.92176485228268, Avg_Score = 177.8587810162452
Episode = 302, Score = 250.74425202464593, Avg_Score = 175.1618692924344
Episode = 303, Score = 295.3492233457644, Avg_Score = 175.14980910547553
Episode = 304, Score = 242.66355151929562, Avg_Score = 171.49037904113183
Episode = 305, Score = -28.574488623394785, Avg_Score = 173.77643886548904
Episode = 306, Score = 261.28925825311285, Avg_Score = 186.07431698849553
Episode = 307, Score = 287.8933145719027, Avg_Score = 210.89155935674094
Episode = 308, Score = 12.261621063629065, Avg_Score = 184.4036926024818
Episode = 309, Score = 301.98910620859635, Avg_Score = 208.46119146414125
Episode = 310, Score = 12.933470949917975, Avg_Score = 181.54710741657527
Episode = 311, Score = -4.916474883397839, Avg_Score = 163.16328344300723
Episode = 312, Score = -29.43216611237905, Avg_Score = 135.14564162930475
Episode = 313, Score = 135.01352437866453, Avg_Score = 119.11207173259473
Episode = 314, Score = 52.33759116444338, Avg_Score = 100.07947569710953
Episode = 315, Score = 49.89467841827667, Avg_Score = 107.92639240127667
Episode = 316, Score = 17.034299026866194, Avg_Score = 83.500896478652
Episode = 317, Score = -14.434188692271547, Avg_Score = 53.26814615223458
Episode = 318, Score = 221.90426435875065, Avg_Score = 74.23241048174674
Episode = 319, Score = 270.1481823178535, Avg_Score = 71.04831809267245
Episode = 320, Score = 222.00088529038283, Avg_Score = 91.95505952671894
