Episode = 298, Score = 136.6990689550098, Avg_Score = 113.53643588810023
Episode = 299, Score = 99.78239182254991, Avg_Score = 122.79282194385317
Episode = 300, Score = 152.8260078643913, Avg_Score = 121.74422393416671
Episode = 301, Score = 64.37605558117316, Avg_Score = 110.94975207457428
Episode = 302, Score = 143.71315793881794, Avg_Score = 109.16353255993651
Episode = 303, Score = 129.1831008793894, Avg_Score = 112.43960391725076
Episode = 304, Score = 98.46230224242561, Avg_Score = 107.14371303864873
Episode = 305, Score = 118.16360182271703, Avg_Score = 103.70772226039746
Episode = 306, Score = 141.1036978696995, Avg_Score = 109.89201242328272
Episode = 307, Score = 175.72419804802283, Avg_Score = 126.00335830241966
Episode = 308, Score = 168.68230052085147, Avg_Score = 129.2016814590038
Episode = 309, Score = 184.2487859650794, Avg_Score = 137.64832087325675
Episode = 310, Score = 25.75954512822723, Avg_Score = 124.94167459964035
Episode = 311, Score = 170.8228430600503, Avg_Score = 135.58635334752807
Episode = 312, Score = 143.0697036323264, Avg_Score = 135.5220079168789
Episode = 313, Score = -72.02427353155201, Avg_Score = 115.4012704757848
Episode = 314, Score = 107.84155570078893, Avg_Score = 116.33919582162112
Episode = 315, Score = 74.37094201000069, Avg_Score = 111.95992984034947
Episode = 316, Score = 146.15190928937116, Avg_Score = 112.46475098231664
Episode = 317, Score = 77.08066967107119, Avg_Score = 102.6003981446215
Episode = 318, Score = 23.25915561146593, Avg_Score = 88.05808365368293
Episode = 319, Score = 146.69636025867, Avg_Score = 84.30284108304197
Episode = 320, Score = 178.7654072743475, Avg_Score = 99.60342729765401
Episode = 321, Score = 150.51931385025122, Avg_Score = 97.5730743766741
Episode = 322, Score = 29.62071684235923, Avg_Score = 86.22817569767739
Episode = 323, Score = 86.3694765499795, Avg_Score = 102.06755070583054
Episode = 324, Score = 148.58402757284748, Avg_Score = 106.14179789303637
Episode = 325, Score = 64.50323592732676, Avg_Score = 105.15502728476899
Episode = 326, Score = 66.13666264998619, Avg_Score = 97.1535026208305
Episode = 327, Score = 109.96499059402379, Avg_Score = 100.44193471312576
Episode = 328, Score = 168.9666024353261, Avg_Score = 115.01267939551178
Episode = 329, Score = 6.8051039711461385, Avg_Score = 101.02355376675939
Episode = 330, Score = 152.48723047557914, Avg_Score = 98.39573608688255
Episode = 331, Score = 155.10633663536655, Avg_Score = 98.85443836539409
Episode = 332, Score = 25.055700201057288, Avg_Score = 98.39793670126389
Episode = 333, Score = 150.2448368411592, Avg_Score = 104.78547273038187
Episode = 334, Score = 127.97450832695998, Avg_Score = 102.7245208057931
Episode = 335, Score = 122.01006825526655, Avg_Score = 108.4752040385871
Episode = 336, Score = 129.56590502081667, Avg_Score = 114.81812827567015
Episode = 337, Score = 16.87428229216161, Avg_Score = 105.5090574454839
Episode = 338, Score = 14.154931064430329, Avg_Score = 90.02789030839435
Episode = 339, Score = 138.14075528218206, Avg_Score = 103.16145543949794
Episode = 340, Score = 123.22083213566668, Avg_Score = 100.23481560550668
Episode = 341, Score = 74.47230875149336, Avg_Score = 92.17141281711937
Episode = 342, Score = 122.445789695007, Avg_Score = 101.91042176651435
Episode = 343, Score = 154.16822850856678, Avg_Score = 102.3027609332551
Episode = 344, Score = 165.1560671946515, Avg_Score = 106.02091682002424
Episode = 345, Score = 150.00482643965907, Avg_Score = 108.82039263846352
Episode = 346, Score = 178.53711068957946, Avg_Score = 113.71751320533978
Episode = 347, Score = 117.37565760422862, Avg_Score = 123.76765073654649
Episode = 348, Score = 126.62219845163247, Avg_Score = 135.0143774752667
Episode = 349, Score = 96.27514895633746, Avg_Score = 130.82781684268224
Episode = 350, Score = 90.24926762100233, Avg_Score = 127.53066039121582
Episode = 351, Score = 58.250675104867994, Avg_Score = 125.90849702655325
Episode = 352, Score = 165.2282358087846, Avg_Score = 130.18674163793102
Episode = 353, Score = 151.7461886471003, Avg_Score = 129.9445376517844
Episode = 354, Score = 147.69526761025674, Avg_Score = 128.1984576933449
Episode = 355, Score = 143.25964563251327, Avg_Score = 127.5239396126303
Episode = 356, Score = 143.31404757942033, Avg_Score = 124.0016333016144
Episode = 357, Score = 85.87524715846216, Avg_Score = 120.85159225703777
Episode = 358, Score = 144.1422890230734, Avg_Score = 122.60360131418186
Episode = 359, Score = 89.91610789814914, Avg_Score = 121.96769720836303
Episode = 360, Score = 157.6081550989637, Avg_Score = 128.70358595615915
Episode = 361, Score = 56.559324492003554, Avg_Score = 128.5344508948727
Episode = 362, Score = 170.39787186345143, Avg_Score = 129.05141450033938
Episode = 363, Score = 55.71897541123066, Avg_Score = 119.44869317675246
Episode = 364, Score = 145.85487063371113, Avg_Score = 119.26465347909789
Episode = 365, Score = 33.51788690118194, Avg_Score = 108.29047760596475
Episode = 366, Score = 106.33771671136425, Avg_Score = 104.59284451915914
Episode = 367, Score = 91.95215760899359, Avg_Score = 105.20053556421226
Episode = 368, Score = 94.20439384293678, Avg_Score = 100.20674604619862
Episode = 369, Score = 99.05163528229133, Avg_Score = 101.12029878461283
Episode = 370, Score = -69.1272959840727, Avg_Score = 78.4467536763092
Episode = 371, Score = 103.49551318871838, Avg_Score = 83.14037254598068
Episode = 372, Score = 28.280473890451418, Avg_Score = 68.92863274868067
Episode = 373, Score = 178.93056119172402, Avg_Score = 81.24979132673
Episode = 374, Score = 153.37677509203522, Avg_Score = 82.00198177256243
Episode = 375, Score = 54.983771763334204, Avg_Score = 84.14857025877765
Episode = 376, Score = 179.42741364569892, Avg_Score = 91.45753995221112
Episode = 377, Score = 182.71659845578608, Avg_Score = 100.53398403689036
Episode = 378, Score = 96.58336588345874, Avg_Score = 100.77188124094256
Episode = 379, Score = 75.77230142585013, Avg_Score = 98.44394785529845
Episode = 380, Score = -35.918419092546145, Avg_Score = 101.76483554445107
Episode = 381, Score = 64.29072476017816, Avg_Score = 97.84435670159708
Episode = 382, Score = 54.774998105426164, Avg_Score = 100.49380912309455
Episode = 383, Score = 109.25878163360512, Avg_Score = 93.52663116728267
Episode = 384, Score = 118.34185332913522, Avg_Score = 90.02313899099266
Episode = 385, Score = 160.37403086239314, Avg_Score = 100.56216490089855
Episode = 386, Score = 111.1254014845461, Avg_Score = 93.73196368478327
Episode = 387, Score = 117.19898046447108, Avg_Score = 87.18020188565177
Episode = 388, Score = 16.906670936813388, Avg_Score = 79.21253239098723
Episode = 389, Score = 134.04345390001706, Avg_Score = 85.03964763840393
Episode = 390, Score = 104.88910525191861, Avg_Score = 99.1204000728504
Episode = 391, Score = 113.77862535926211, Avg_Score = 104.0691901327588
Episode = 392, Score = -13.847496565887539, Avg_Score = 97.20694066562743
Episode = 393, Score = 107.3096801064553, Avg_Score = 97.01203051291245
Episode = 394, Score = 109.57116629673459, Avg_Score = 96.13496180967238
Episode = 395, Score = 169.63755957997665, Avg_Score = 97.06131468143073
Episode = 396, Score = 50.01676226271286, Avg_Score = 90.95045075924739
Episode = 397, Score = 137.10932184809764, Avg_Score = 92.94148489761008
Episode = 398, Score = 56.56874451074751, Avg_Score = 96.90769225500347
Episode = 399, Score = 153.62098426343104, Avg_Score = 98.86544529134487
