Episode = 258, Score = -274.5539786478252, Avg_Score = -175.79348380513636
Episode = 259, Score = -48.40261137618799, Avg_Score = -178.3362186629955
Episode = 260, Score = -401.0693861828622, Avg_Score = -182.56117191694509
Episode = 261, Score = -152.08118218856686, Avg_Score = -186.66005772436603
Episode = 262, Score = -377.37847010629304, Avg_Score = -192.9777949978514
Episode = 263, Score = -189.60704374241286, Avg_Score = -194.72556966686633
Episode = 264, Score = -205.61266548939523, Avg_Score = -195.11046297447476
Episode = 265, Score = -557.8313320089258, Avg_Score = -200.82327008638
Episode = 266, Score = -345.7700557434944, Avg_Score = -202.20383450882045
Episode = 267, Score = 197.0852330303843, Avg_Score = -198.2261143977401
Episode = 268, Score = -65.44665465789896, Avg_Score = -201.32990240902873
Episode = 269, Score = 160.04962122794166, Avg_Score = -199.7481674718357
Episode = 270, Score = -161.23412659349728, Avg_Score = -201.181110873327
Episode = 271, Score = -384.25895059116266, Avg_Score = -198.47234947637247
Episode = 272, Score = -115.07139272832217, Avg_Score = -196.65624983331097
Episode = 273, Score = -210.27752504481919, Avg_Score = -196.47371353332395
Episode = 274, Score = -335.91050515084373, Avg_Score = -197.47482727856826
Episode = 275, Score = -371.2972780653696, Avg_Score = -198.5348177329427
Episode = 276, Score = -203.8739758740565, Avg_Score = -200.1277129227626
Episode = 277, Score = -177.21759406762527, Avg_Score = -200.02354125428164
Episode = 278, Score = -370.39737190132666, Avg_Score = -201.26861296832124
Episode = 279, Score = -79.3876219126807, Avg_Score = -204.8073915876235
Episode = 280, Score = -109.6156074704951, Avg_Score = -202.40962648321957
Episode = 281, Score = -107.22244455473847, Avg_Score = -200.1790808596465
Episode = 282, Score = -664.2751871046426, Avg_Score = -203.6495657766295
Episode = 283, Score = -194.29931203982565, Avg_Score = -201.73455282331454
Episode = 284, Score = -126.96362939617302, Avg_Score = -200.97057242199014
Episode = 285, Score = -246.5484592580483, Avg_Score = -200.94767037098916
Episode = 286, Score = -203.09296619268832, Avg_Score = -200.7192767498376
Episode = 287, Score = -327.2896106141495, Avg_Score = -202.28004839310884
Episode = 288, Score = -254.24760816696752, Avg_Score = -203.66260460719514
Episode = 289, Score = -355.58532769131466, Avg_Score = -205.3941947804634
Episode = 290, Score = -37.82667418511831, Avg_Score = -204.04968867808984
Episode = 291, Score = -121.34029087938006, Avg_Score = -202.77034766143825
Episode = 292, Score = 114.18934813015709, Avg_Score = -196.2723658765789
Episode = 293, Score = -217.5833234529639, Avg_Score = -196.54678455527716
Episode = 294, Score = -690.2181089087852, Avg_Score = -201.37811582496397
Episode = 295, Score = -542.9796279091786, Avg_Score = -204.10483834742806
